Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
미녀와 야수,2017-03-16,"멜로/로맨스,판타지,뮤지컬",전체관람가,미국,"2D,3D,4D,IMAX",빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,구구 바샤-로,케빈 클라인,스탠리 투치",5156372
미션 임파서블 3,2006-05-03,액션,15세관람가,미국,"필름,2D",J.J. 에이브럼스,톰 크루즈,5127047
투사부일체,2006-01-19,코미디,15세관람가,한국,필름,김동원,"정준호,정웅인,김상중",5074314
쿵푸팬더 2,2011-05-26,"애니메이션,액션,어드벤처,코미디,가족",전체관람가,미국,"필름,2D,3D,4D,IMAX",여인영,"더스틴 호프만,잭 블랙,안젤리나 졸리,성룡",5064796
독전,2018-05-22,"범죄,액션",15세이상관람가,한국,2D,이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,진서연",5064323
추격자,2008-02-14,"범죄,스릴러,액션",청소년관람불가,한국,"필름,2D",나홍진,"김윤석,하정우",5046096
아쿠아맨,2018-12-19,액션,12세이상관람가,"미국,호주","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",제임스 완,"제이슨 모모아,앰버 허드,니콜 키드먼,패트릭 윌슨,윌렘 데포,돌프 룬드그렌",5041187
공작,2018-08-08,드라마,12세이상관람가,한국,2D,윤종빈,"황정민,이성민,조진웅,주지훈",4975517
인사이드 아웃,2015-07-09,"애니메이션,코미디",전체관람가,미국,"필름,2D,3D,IMAX",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더",4971192
킹스맨: 골든 서클,2017-09-27,"액션,어드벤처,코미디",청소년관람불가,"미국,영국","2D,4D,IMAX",매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스",4945484
바람과 함께 사라지다,2012-08-08,"코미디,사극",12세이상관람가,한국,"필름,2D",김주호,"차태현,오지호,민효린,성동일,고창석,송종호,이채영,김길동,김향기",4909950
마션,2015-10-08,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그",4887144
토르: 라그나로크,2017-10-25,"액션,어드벤처,판타지,SF",12세이상관람가,미국,"2D,4D,IMAX",타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스",4858572
어메이징 스파이더맨,2012-06-28,액션,12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드",4853273
"님아, 그 강을 건너지 마오",2014-11-27,다큐멘터리,전체관람가,한국,"필름,2D",진모영,"조병만,강계열",4802642
봉오동 전투,2019-08-07,"사극,액션,드라마",15세이상관람가,한국,2D,원신연,"유해진,류준열,조우진",4787579
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"코미디,액션",12세이상관람가,한국,"필름,2D",김석윤,"김명민,한지민,오달수",4786259
군도: 민란의 시대,2014-07-23,"사극,액션",15세이상관람가,한국,"필름,2D,4D",윤종빈,"하정우,강동원,조진웅,마동석,정만식,김성균,주진모,이경영",4775924
남산의 부장들,2020-01-22,드라마,15세이상관람가,한국,2D,우민호,"이병헌,이성민,곽도원,이희준,김소진",4750345
라이온 킹,2019-07-17,"어드벤처,드라마,가족",전체관람가,미국,"2D,3D,4D,IMAX",존 파브로,"도날드 글로버,비욘세 놀즈,제임스 얼 존스,치웨텔 에지오포,세스 로건",4743295
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"범죄,드라마",청소년관람불가,한국,"필름,2D",윤종빈,"최민식,하정우",4720172
주토피아,2016-02-17,"애니메이션,액션,어드벤처",전체관람가,미국,"2D,3D,4D","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라",4707962
