,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일
244,2004-08-25 00:00:00,0,28,1130024500,178910,Wednesday
245,2004-08-26 00:00:00,0,27,1148105000,182992,Thursday
246,2004-08-27 00:00:00,5,30,1409200000,221101,Friday
247,2004-08-28 00:00:00,0,35,2686301000,418652,Saturday
248,2004-08-29 00:00:00,0,31,2493492500,385278,Sunday
249,2004-08-30 00:00:00,0,34,942434500,148073,Monday
250,2004-08-31 00:00:00,0,32,898635000,141933,Tuesday
252,2004-09-01 00:00:00,0,36,792100500,124773,Wednesday
253,2004-09-02 00:00:00,0,32,848231500,134709,Thursday
254,2004-09-03 00:00:00,8,24,1309091000,203820,Friday
255,2004-09-04 00:00:00,0,24,2638100000,408928,Saturday
256,2004-09-05 00:00:00,0,23,2524918500,389701,Sunday
257,2004-09-06 00:00:00,0,25,829537000,130527,Monday
258,2004-09-07 00:00:00,0,26,840129000,131706,Tuesday
259,2004-09-08 00:00:00,0,25,803463500,126335,Wednesday
260,2004-09-09 00:00:00,0,35,907626500,144826,Thursday
261,2004-09-10 00:00:00,9,28,1268777500,198621,Friday
262,2004-09-11 00:00:00,0,31,2770348000,433823,Saturday
263,2004-09-12 00:00:00,0,29,2624690500,403699,Sunday
264,2004-09-13 00:00:00,0,34,837945500,132047,Monday
265,2004-09-14 00:00:00,0,30,787355500,124186,Tuesday
266,2004-09-15 00:00:00,0,32,797356500,125649,Wednesday
267,2004-09-16 00:00:00,1,32,1002532000,160449,Thursday
268,2004-09-17 00:00:00,4,31,1293636000,203767,Friday
269,2004-09-18 00:00:00,0,28,2761388000,432152,Saturday
270,2004-09-19 00:00:00,0,28,2575250500,397878,Sunday
271,2004-09-20 00:00:00,0,29,822977000,129996,Monday
272,2004-09-21 00:00:00,0,31,829304000,131383,Tuesday
273,2004-09-22 00:00:00,0,34,815662000,129073,Wednesday
274,2004-09-23 00:00:00,1,43,820441500,131595,Thursday
275,2004-09-24 00:00:00,5,32,1298848000,204949,Friday
276,2004-09-25 00:00:00,0,21,2719820000,425761,Saturday
277,2004-09-26 00:00:00,0,20,2724582500,419955,Sunday
278,2004-09-27 00:00:00,0,21,2555207000,393781,Monday
279,2004-09-28 00:00:00,0,21,3065787000,467812,Tuesday
280,2004-09-29 00:00:00,0,21,3423908000,527105,Wednesday
281,2004-09-30 00:00:00,0,21,1413072000,228078,Thursday
283,2004-10-01 00:00:00,1,20,1016655000,159126,Friday
284,2004-10-02 00:00:00,0,21,2064098500,317716,Saturday
285,2004-10-03 00:00:00,0,21,1864776500,284221,Sunday
286,2004-10-04 00:00:00,0,20,535424500,84509,Monday
287,2004-10-05 00:00:00,0,22,530491500,83749,Tuesday
288,2004-10-06 00:00:00,0,22,576866500,92020,Wednesday
289,2004-10-07 00:00:00,0,24,614973500,99512,Thursday
290,2004-10-08 00:00:00,4,37,1271760000,204470,Friday
291,2004-10-09 00:00:00,0,37,2274134000,358198,Saturday
292,2004-10-10 00:00:00,0,32,2170783500,335490,Sunday
293,2004-10-11 00:00:00,0,21,727214500,115534,Monday
294,2004-10-12 00:00:00,0,20,795478500,127278,Tuesday
295,2004-10-13 00:00:00,0,22,771805500,124489,Wednesday
296,2004-10-14 00:00:00,1,25,755157500,121996,Thursday
297,2004-10-15 00:00:00,4,23,1104971000,175138,Friday
298,2004-10-16 00:00:00,0,25,2220558000,349282,Saturday
299,2004-10-17 00:00:00,0,25,2070168500,320635,Sunday
300,2004-10-18 00:00:00,0,30,642976000,101911,Monday
301,2004-10-19 00:00:00,0,29,673086500,107101,Tuesday
302,2004-10-20 00:00:00,0,33,678937500,108432,Wednesday
303,2004-10-21 00:00:00,0,36,668545000,108235,Thursday
304,2004-10-22 00:00:00,5,25,1410145500,225107,Friday
305,2004-10-23 00:00:00,1,22,2593291000,406194,Saturday
306,2004-10-24 00:00:00,0,23,2298207500,352633,Sunday
307,2004-10-25 00:00:00,0,25,779345500,123731,Monday
308,2004-10-26 00:00:00,0,23,792703000,126184,Tuesday
309,2004-10-27 00:00:00,1,26,811015500,129461,Wednesday
310,2004-10-28 00:00:00,0,25,875586000,141522,Thursday
311,2004-10-29 00:00:00,4,24,1354091000,213837,Friday
312,2004-10-30 00:00:00,0,24,2535024000,391955,Saturday
313,2004-10-31 00:00:00,0,25,2382531000,364733,Sunday
315,2004-11-01 00:00:00,0,29,805375000,128275,Monday
316,2004-11-02 00:00:00,0,32,832794500,132633,Tuesday
317,2004-11-03 00:00:00,0,32,801741500,128408,Wednesday
318,2004-11-04 00:00:00,0,26,778135000,124016,Thursday
319,2004-11-05 00:00:00,4,26,1472386500,231601,Friday
320,2004-11-06 00:00:00,0,25,2774301500,430193,Saturday
321,2004-11-07 00:00:00,0,26,2491998000,381980,Sunday
322,2004-11-08 00:00:00,0,22,881720000,139555,Monday
323,2004-11-09 00:00:00,0,24,899536000,142842,Tuesday
324,2004-11-10 00:00:00,0,27,856041000,135185,Wednesday
325,2004-11-11 00:00:00,0,30,1011694500,161891,Thursday
326,2004-11-12 00:00:00,7,21,1092339000,172205,Friday
327,2004-11-13 00:00:00,0,20,2333497000,365640,Saturday
328,2004-11-14 00:00:00,0,21,2030517000,310126,Sunday
329,2004-11-15 00:00:00,0,23,695957000,110509,Monday
330,2004-11-16 00:00:00,0,35,834269000,134029,Tuesday
331,2004-11-17 00:00:00,7,32,1039291000,172386,Wednesday
332,2004-11-18 00:00:00,0,41,983664500,160550,Thursday
333,2004-11-19 00:00:00,0,37,1225207000,195164,Friday
334,2004-11-20 00:00:00,0,28,2355350500,367941,Saturday
335,2004-11-21 00:00:00,0,27,2150167500,329468,Sunday
336,2004-11-22 00:00:00,0,31,774549000,124928,Monday
337,2004-11-23 00:00:00,0,38,793319000,127782,Tuesday
338,2004-11-24 00:00:00,0,38,799985500,128225,Wednesday
339,2004-11-25 00:00:00,0,40,793715000,127156,Thursday
340,2004-11-26 00:00:00,7,32,1170619000,183934,Friday
341,2004-11-27 00:00:00,0,28,2309550000,361158,Saturday
342,2004-11-28 00:00:00,0,28,2008333000,304629,Sunday
343,2004-11-29 00:00:00,0,28,690817500,110345,Monday
344,2004-11-30 00:00:00,0,34,685372506,109543,Tuesday
346,2004-12-01 00:00:00,0,34,724783000,115594,Wednesday
347,2004-12-02 00:00:00,0,39,702493500,112178,Thursday
348,2004-12-03 00:00:00,6,33,1007780500,158114,Friday
349,2004-12-04 00:00:00,0,33,2032632500,312740,Saturday
350,2004-12-05 00:00:00,0,33,1960131500,295864,Sunday
351,2004-12-06 00:00:00,0,35,636683000,101074,Monday
352,2004-12-07 00:00:00,0,32,679579500,107239,Tuesday
353,2004-12-08 00:00:00,2,31,853433500,134177,Wednesday
354,2004-12-09 00:00:00,0,32,890228000,143083,Thursday
355,2004-12-10 00:00:00,5,31,1333335500,210999,Friday
356,2004-12-11 00:00:00,0,31,2538913500,396518,Saturday
357,2004-12-12 00:00:00,0,31,2194534000,333058,Sunday
358,2004-12-13 00:00:00,0,28,883834000,141305,Monday
359,2004-12-14 00:00:00,0,30,886629000,139806,Tuesday
360,2004-12-15 00:00:00,4,27,1428202000,226599,Wednesday
361,2004-12-16 00:00:00,0,39,1380243000,221604,Thursday
362,2004-12-17 00:00:00,0,32,1619058500,256131,Friday
363,2004-12-18 00:00:00,0,25,3085036000,483157,Saturday
364,2004-12-19 00:00:00,0,25,2923670500,449853,Sunday
365,2004-12-20 00:00:00,0,27,1111130500,175323,Monday
366,2004-12-21 00:00:00,0,27,1136684000,181769,Tuesday
367,2004-12-22 00:00:00,0,32,1082713500,173340,Wednesday
368,2004-12-23 00:00:00,4,25,1196897000,192030,Thursday
369,2004-12-24 00:00:00,1,26,3129584000,491126,Friday
370,2004-12-25 00:00:00,0,26,4871377500,765011,Saturday
371,2004-12-26 00:00:00,0,27,3315137500,513314,Sunday
372,2004-12-27 00:00:00,0,25,1197562500,190011,Monday
373,2004-12-28 00:00:00,0,27,1266453000,203321,Tuesday
374,2004-12-29 00:00:00,0,29,1328825000,212071,Wednesday
375,2004-12-30 00:00:00,2,30,1950971000,313578,Thursday
376,2004-12-31 00:00:00,4,29,3123914000,495229,Friday
378,2005-01-01 00:00:00,0,28,4591282000,712128,Saturday
379,2005-01-02 00:00:00,0,30,3976799000,617352,Sunday
380,2005-01-03 00:00:00,0,30,1696796789,268410,Monday
381,2005-01-04 00:00:00,0,29,1578807500,251021,Tuesday
382,2005-01-05 00:00:00,0,29,1468925500,234712,Wednesday
383,2005-01-06 00:00:00,0,30,1518140000,241979,Thursday
384,2005-01-07 00:00:00,4,31,2004154000,315616,Friday
385,2005-01-08 00:00:00,0,31,3913841500,612850,Saturday
386,2005-01-09 00:00:00,0,30,3516314000,547616,Sunday
387,2005-01-10 00:00:00,0,31,1275241500,201939,Monday
388,2005-01-11 00:00:00,0,30,1342887000,213703,Tuesday
389,2005-01-12 00:00:00,0,35,1314633000,209191,Wednesday
390,2005-01-13 00:00:00,0,31,1792171500,286570,Thursday
391,2005-01-14 00:00:00,6,29,2318182000,368028,Friday
392,2005-01-15 00:00:00,0,27,4241836000,666372,Saturday
393,2005-01-16 00:00:00,0,30,3765667000,587008,Sunday
394,2005-01-17 00:00:00,0,24,1499676500,238995,Monday
395,2005-01-18 00:00:00,0,30,1413557000,226377,Tuesday
396,2005-01-19 00:00:00,0,30,1342281500,214356,Wednesday
397,2005-01-20 00:00:00,1,37,1254890000,201162,Thursday
398,2005-01-21 00:00:00,7,32,1598203500,252235,Friday
399,2005-01-22 00:00:00,0,28,3323690000,518116,Saturday
400,2005-01-23 00:00:00,0,32,3051100000,472743,Sunday
401,2005-01-24 00:00:00,0,32,1044988000,166024,Monday
402,2005-01-25 00:00:00,0,31,1062970500,168848,Tuesday
403,2005-01-26 00:00:00,0,34,1135171500,181016,Wednesday
404,2005-01-27 00:00:00,3,30,2239452500,359880,Thursday
405,2005-01-28 00:00:00,2,28,2524974000,402338,Friday
406,2005-01-29 00:00:00,0,28,4301933500,673317,Saturday
407,2005-01-30 00:00:00,0,28,4078423500,636875,Sunday
408,2005-01-31 00:00:00,0,29,1693934000,271520,Monday
410,2005-02-01 00:00:00,0,32,1513097000,241014,Tuesday
411,2005-02-02 00:00:00,0,31,1581054000,254031,Wednesday
412,2005-02-03 00:00:00,3,29,2005824000,322922,Thursday
413,2005-02-04 00:00:00,2,26,2243180000,357298,Friday
414,2005-02-05 00:00:00,0,26,4014125500,627632,Saturday
415,2005-02-06 00:00:00,0,26,3888418000,607512,Sunday
416,2005-02-07 00:00:00,0,26,3007668000,481406,Monday
417,2005-02-08 00:00:00,1,25,3662575500,569181,Tuesday
418,2005-02-09 00:00:00,0,25,3911026500,600225,Wednesday
419,2005-02-10 00:00:00,0,24,5054402000,784448,Thursday
420,2005-02-11 00:00:00,0,25,3455464000,545918,Friday
421,2005-02-12 00:00:00,0,26,4233752500,662484,Saturday
422,2005-02-13 00:00:00,0,26,3601552500,563664,Sunday
423,2005-02-14 00:00:00,0,31,1746425500,276390,Monday
424,2005-02-15 00:00:00,0,26,1302638000,208116,Tuesday
425,2005-02-16 00:00:00,0,30,1316972000,210387,Wednesday
426,2005-02-17 00:00:00,0,30,1463674000,236139,Thursday
427,2005-02-18 00:00:00,6,25,1992315000,320420,Friday
428,2005-02-19 00:00:00,0,27,3493706000,549597,Saturday
429,2005-02-20 00:00:00,0,27,3442889000,540286,Sunday
430,2005-02-21 00:00:00,0,25,1430144000,231361,Monday
431,2005-02-22 00:00:00,0,26,1362016000,220894,Tuesday
432,2005-02-23 00:00:00,0,25,1327162500,215397,Wednesday
433,2005-02-24 00:00:00,2,27,1362734000,221785,Thursday
434,2005-02-25 00:00:00,5,23,1628688000,262174,Friday
435,2005-02-26 00:00:00,0,23,3053087000,479206,Saturday
436,2005-02-27 00:00:00,0,25,2806708500,439136,Sunday
437,2005-02-28 00:00:00,0,27,1644142000,267455,Monday
439,2005-03-01 00:00:00,0,27,3172086000,497832,Tuesday
440,2005-03-02 00:00:00,1,32,811609000,128616,Wednesday
441,2005-03-03 00:00:00,2,31,728722000,115503,Thursday
442,2005-03-04 00:00:00,1,26,886075000,137858,Friday
443,2005-03-05 00:00:00,0,27,2168345500,330358,Saturday
444,2005-03-06 00:00:00,0,27,2311718500,356153,Sunday
445,2005-03-07 00:00:00,0,27,637111000,99948,Monday
446,2005-03-08 00:00:00,0,27,610477500,96289,Tuesday
447,2005-03-09 00:00:00,0,32,573113500,90623,Wednesday
448,2005-03-10 00:00:00,4,34,886758500,140996,Thursday
449,2005-03-11 00:00:00,4,29,1322775500,206365,Friday
450,2005-03-12 00:00:00,0,45,3014946289,465478,Saturday
451,2005-03-13 00:00:00,0,46,3006815500,466016,Sunday
452,2005-03-14 00:00:00,0,37,1246524500,195399,Monday
